username,password
bat.man,team1Adm!n!
aqua.man,team1Adm!n!
martian.manhunter,team1Adm!n!
wonder.woman,team1Adm!n!
the.flash,team1Adm!n!
cy.borg,team1Adm!n!
super.man,team1Adm!n!
green.lantern,team1Adm!n!
bruce.wayne,team1Adm!n!
hawk.girl,team1Passw0rd!
zatanna.zatara,team1Passw0rd!
blue.beetle,team1Passw0rd!
plastic.man,team1Passw0rd!
raven.azarath,team1Passw0rd!
static.virgil,team1Passw0rd! 
stargirl.courtney,team1Passw0rd!
fire.bea,team1Passw0rd!
hawk.guy,team1Passw0rd!
constantine.john,team1Passw0rd!
firestorm.ronnie,team1Passw0rd!
doctor.fate,team1Passw0rd!
huntress.helena,team1Passw0rd!
katana.tatsu,team1Passw0rd!
rocket.rae,team1Passw0rd!
ice.tora,team1Passw0rd!
black.canary,team1Passw0rd!
vixen.mari,team1Passw0rd!
booster.gold,team1Passw0rd!
starfire.kori,team1Passw0rd!
oracle.barbara,team1Passw0rd!
black.lightning,team1Passw0rd!
animal.man,team1Passw0rd!
green.arrow,team1Passw0rd!
lois.lane,team1Passw0rd!
night.wing,team1Passw0rd!
red.tornado,team1Passw0rd!
sha.zam,team1Passw0rd!
firestorm.ronnie,team1Passw0rd!
